CowID,Lact,Cow Sold,Herd Sold,Cow Shortloss,Herd Shortloss,Cow Longloss,Herd Longloss,Cow Failure,Herd Failure,Cow Recurred,Herd Recurred,Cow Quality
N08729691,1,31.0,51,34.0,49,22.0,51,38.0,48,36.0,47,2
N08729691,1,31.0,51,36.0,49,22.0,51,54.0,48,40.0,47,2
N08733930,2,40.0,51,30.0,49,32.0,51,29.0,48,32.0,47,2
N08733933,1,11.0,51,22.0,49,22.0,51,21.0,48,24.0,47,1
N08733934,2,41.0,51,35.0,49,35.0,51,33.0,48,38.0,47,2
N08733938,1,23.0,51,24.0,49,15.0,51,54.0,48,43.0,47,2
N08733942,4,64.0,51,56.0,49,59.0,51,60.0,48,50.0,47,3
N08738273,7,74.0,51,57.0,49,57.0,51,63.0,48,45.0,47,4
N08738273,7,81.0,51,70.0,49,72.0,51,53.0,48,54.0,47,4
N08738274,4,20.0,51,28.0,49,30.0,51,66.0,48,46.0,47,2
N08738274,4,14.0,51,41.0,49,38.0,51,64.0,48,32.0,47,2
N08738274,4,17.0,51,39.0,49,43.0,51,59.0,48,32.0,47,2
N08738274,5,79.0,51,63.0,49,73.0,51,35.0,48,60.0,47,4
N08738274,5,83.0,51,76.0,49,81.0,51,60.0,48,63.0,47,4
N08738275,7,71.0,51,55.0,49,67.0,51,57.0,48,38.0,47,4
N08738275,7,71.0,51,55.0,49,67.0,51,57.0,48,39.0,47,4
N08738287,5,58.0,51,49.0,49,47.0,51,46.0,48,49.0,47,3
N08740980,5,62.0,51,51.0,49,65.0,51,58.0,48,54.0,47,3
N08740981,6,65.0,51,46.0,49,44.0,51,65.0,48,47.0,47,3
N08740981,6,76.0,51,66.0,49,63.0,51,52.0,48,45.0,47,4
N08740983,5,59.0,51,44.0,49,61.0,51,43.0,48,47.0,47,3
N08740983,6,73.0,51,63.0,49,73.0,51,23.0,48,53.0,47,4
N08740983,6,79.0,51,75.0,49,78.0,51,41.0,48,65.0,47,4
N08740985,4,50.0,51,43.0,49,49.0,51,35.0,48,52.0,47,3
N08740985,4,68.0,51,62.0,49,69.0,51,29.0,48,48.0,47,3
N08740986,3,38.0,51,40.0,49,33.0,51,65.0,48,55.0,47,3
N08740989,2,28.0,51,34.0,49,27.0,51,52.0,48,50.0,47,3
