CowID,Lact,DIM,Cow Sold,Herd Sold,Cow Shortloss,Herd Shortloss,Cow Longloss,Herd Longloss,Cow Failure,Herd Failure,Cow Recurred,Herd Recurred,Cow Quality
N05622566,5,276,33.0,45,60.0,50,69.0,53,65.0,57,58.0,50,3
N05622566,5,300,33.0,45,65.0,50,70.0,53,59.0,57,57.0,50,3
N05627366,5,6,50.0,45,50.0,50,43.0,53,62.0,57,61.0,50,3
N05627366,8,81,75.0,45,65.0,50,78.0,53,69.0,57,60.0,50,4
N05627368,5,268,16.0,45,32.0,50,55.0,53,62.0,57,22.0,50,3
N05627368,5,268,16.0,45,32.0,50,55.0,53,62.0,57,22.0,50,3
N05627368,6,205,74.0,45,64.0,50,72.0,53,57.0,57,50.0,50,4
N05627368,7,121,79.0,45,72.0,50,66.0,53,70.0,57,61.0,50,4
N05627370,4,330,13.0,45,28.0,50,25.0,53,58.0,57,7.0,50,1
N05631857,4,6,75.0,45,68.0,50,78.0,53,65.0,57,63.0,50,4
N05631857,5,3,82.0,45,69.0,50,79.0,53,62.0,57,60.0,50,4
N05631857,5,36,87.0,45,75.0,50,84.0,53,67.0,57,74.0,50,4
N05631857,5,233,91.0,45,80.0,50,88.0,53,60.0,57,63.0,50,5
N05633716,3,383,14.0,45,26.0,50,34.0,53,64.0,57,12.0,50,2
N05635984,4,68,50.0,45,51.0,50,53.0,53,66.0,57,65.0,50,3
N05635984,4,162,68.0,45,66.0,50,75.0,53,55.0,57,63.0,50,4
N05635984,4,181,75.0,45,73.0,50,81.0,53,59.0,57,67.0,50,4
N06639436,6,150,35.0,45,60.0,50,65.0,53,65.0,57,54.0,50,3
N06639436,7,2,82.0,45,75.0,50,83.0,53,66.0,57,71.0,50,4
N06639436,7,3,82.0,45,75.0,50,83.0,53,70.0,57,71.0,50,4
N06639436,7,3,82.0,45,75.0,50,83.0,53,70.0,57,71.0,50,4
N06640344,6,179,24.0,45,44.0,50,62.0,53,63.0,57,39.0,50,3
N06640344,6,286,18.0,45,31.0,50,58.0,53,66.0,57,13.0,50,3
N06640344,7,119,83.0,45,68.0,50,88.0,53,68.0,57,68.0,50,4
N06640349,6,99,69.0,45,57.0,50,55.0,53,66.0,57,55.0,50,3
N06640349,6,227,79.0,45,71.0,50,73.0,53,55.0,57,49.0,50,4
N06640352,4,215,26.0,45,50.0,50,56.0,53,61.0,57,45.0,50,3
N06640352,5,184,78.0,45,65.0,50,71.0,53,69.0,57,58.0,50,4
N06640358,6,203,17.0,45,32.0,50,33.0,53,60.0,57,40.0,50,2
N06640358,7,1,59.0,45,54.0,50,60.0,53,67.0,57,50.0,50,3
N06640358,7,156,79.0,45,74.0,50,72.0,53,64.0,57,60.0,50,4
N06640358,7,174,81.0,45,77.0,50,78.0,53,58.0,57,63.0,50,4
N06640369,5,5,73.0,45,65.0,50,72.0,53,64.0,57,59.0,50,4
N06640369,5,8,73.0,45,65.0,50,72.0,53,68.0,57,59.0,50,4
N06640369,5,30,76.0,45,72.0,50,84.0,53,70.0,57,67.0,50,4
N06640369,5,33,76.0,45,72.0,50,84.0,53,64.0,57,68.0,50,4
N06645057,3,175,62.0,45,62.0,50,63.0,53,46.0,57,51.0,50,3
N06645059,2,346,46.0,45,26.0,50,27.0,53,59.0,57,22.0,50,2
N06645061,5,364,18.0,45,23.0,50,34.0,53,47.0,57,16.0,50,2
N06645061,6,2,76.0,45,62.0,50,68.0,53,63.0,57,55.0,50,4
N06645064,4,120,23.0,45,62.0,50,62.0,53,69.0,57,70.0,50,3
N06645064,4,266,16.0,45,40.0,50,66.0,53,46.0,57,30.0,50,3
N06645069,6,47,65.0,45,57.0,50,63.0,53,66.0,57,64.0,50,3
N06645070,7,33,66.0,45,58.0,50,75.0,53,60.0,57,57.0,50,4
N06645070,7,64,73.0,45,70.0,50,70.0,53,69.0,57,55.0,50,4
N06645071,3,150,76.0,45,80.0,50,86.0,53,57.0,57,59.0,50,4
N06645072,5,129,79.0,45,58.0,50,74.0,53,69.0,57,54.0,50,4
N06645072,5,140,85.0,45,67.0,50,82.0,53,62.0,57,56.0,50,4
N06645072,5,383,42.0,45,57.0,50,72.0,53,58.0,57,30.0,50,4
N06648186,3,57,49.0,45,50.0,50,59.0,53,49.0,57,57.0,50,3
N06648186,3,99,66.0,45,65.0,50,71.0,53,53.0,57,59.0,50,4
N06648188,4,10,56.0,45,53.0,50,69.0,53,64.0,57,60.0,50,3
N06648188,4,188,29.0,45,54.0,50,58.0,53,71.0,57,63.0,50,3
N06648188,4,192,27.0,45,54.0,50,58.0,53,68.0,57,63.0,50,3
N06648191,3,5,42.0,45,42.0,50,43.0,53,65.0,57,62.0,50,3
N06648191,3,129,66.0,45,62.0,50,63.0,53,43.0,57,52.0,50,3
N06648191,3,164,73.0,45,73.0,50,70.0,53,43.0,57,55.0,50,4
N06648192,5,101,79.0,45,67.0,50,78.0,53,67.0,57,68.0,50,4
N06648192,5,163,86.0,45,76.0,50,84.0,53,62.0,57,58.0,50,4
N06648192,5,190,85.0,45,79.0,50,85.0,53,49.0,57,55.0,50,4
N06648196,4,533,9.0,45,19.0,50,21.0,53,32.0,57,5.0,50,1
N06648200,6,6,53.0,45,60.0,50,68.0,53,55.0,57,62.0,50,3
N06648200,7,16,73.0,45,75.0,50,83.0,53,46.0,57,51.0,50,4
N06648201,6,4,64.0,45,57.0,50,68.0,53,64.0,57,57.0,50,3
N06648204,4,82,54.0,45,50.0,50,47.0,53,64.0,57,56.0,50,3
N06648204,4,103,67.0,45,64.0,50,67.0,53,64.0,57,63.0,50,3
N06648204,4,111,74.0,45,74.0,50,74.0,53,57.0,57,67.0,50,4
N06648206,4,0,52.0,45,59.0,50,78.0,53,48.0,57,53.0,50,4
N06648206,4,2,53.0,45,59.0,50,78.0,53,44.0,57,53.0,50,4
N06648206,4,3,53.0,45,59.0,50,78.0,53,46.0,57,53.0,50,4
N06648206,5,4,75.0,45,66.0,50,82.0,53,71.0,57,66.0,50,4
N06651816,4,120,19.0,45,29.0,50,28.0,53,62.0,57,48.0,50,2
N06651816,5,2,80.0,45,76.0,50,81.0,53,58.0,57,55.0,50,4
N06651819,3,4,31.0,45,33.0,50,35.0,53,65.0,57,55.0,50,3
N06651819,5,103,69.0,45,56.0,50,52.0,53,60.0,57,60.0,50,3
N06651822,5,9,62.0,45,59.0,50,59.0,53,66.0,57,60.0,50,3
N06651822,5,20,72.0,45,71.0,50,72.0,53,64.0,57,65.0,50,4
N06651822,5,20,72.0,45,71.0,50,72.0,53,59.0,57,65.0,50,4
